float_id,date,latitude,longitude,depth,temperature,salinity,pressure,oxygen,pH,conductivity,region
56,2023-02-25,50.625,-34.746,50,29.03,37.26,3822.3,6.87,7.54,4.89,Arabian Sea
57,2023-02-26,-49.381,-131.755,10,12.52,39.92,3753.6,7.01,8.17,4.21,Indian Ocean
58,2023-02-27,-36.482,-169.638,500,5.55,30.99,2498.2,3.99,7.82,5.26,Arabian Sea
59,2023-02-28,-54.573,91.849,50,0.35,34.01,1667.4,6.16,8.4,4.59,Bay of Bengal
60,2023-03-01,-20.96,43.311,200,3.43,38.0,2722.1,6.63,8.39,5.03,Arabian Sea
61,2023-03-02,-13.359,73.469,1000,14.63,32.04,1570.4,5.93,7.83,4.29,Pacific Ocean
62,2023-03-03,-27.438,-103.333,50,8.78,35.55,4560.4,2.91,8.4,5.19,Indian Ocean
63,2023-03-04,39.449,-130.906,100,24.52,37.33,2383.5,7.26,8.5,5.47,Bay of Bengal
64,2023-03-05,-17.19,-174.764,50,11.79,36.16,1617.8,5.23,8.33,3.44,Indian Ocean
65,2023-03-06,-26.288,-53.788,50,5.96,31.88,1101.8,3.69,8.34,5.5,Indian Ocean
66,2023-03-07,5.124,32.37,1000,17.75,33.55,3583.3,4.55,7.75,4.62,Bay of Bengal
67,2023-03-08,-43.089,-38.792,100,20.62,37.84,3547.6,2.23,8.08,5.53,Indian Ocean
68,2023-03-09,36.264,-22.509,500,3.35,35.54,2362.4,2.77,7.57,4.29,Indian Ocean
69,2023-03-10,-51.054,145.497,500,3.36,30.05,1286.8,6.59,7.59,4.14,Arabian Sea
70,2023-03-11,58.426,-54.628,50,-0.83,37.61,2638.5,2.0,8.5,5.75,Indian Ocean
71,2023-03-12,32.669,5.036,100,21.56,30.35,2244.9,4.5,7.83,3.75,Indian Ocean
72,2023-03-13,-36.154,102.115,100,19.24,37.46,3708.5,5.14,8.25,5.53,Indian Ocean
73,2023-03-14,-59.337,-37.245,1000,13.19,32.02,3423.1,2.33,8.31,4.45,Indian Ocean
74,2023-03-15,37.855,43.951,200,25.01,39.58,2458.4,7.84,8.36,4.54,Bay of Bengal
75,2023-03-16,24.823,130.451,500,23.78,33.68,1871.6,3.36,8.5,3.93,Pacific Ocean
76,2023-03-17,27.481,161.827,1000,16.73,33.27,4952.1,3.83,7.74,4.72,Arabian Sea
77,2023-03-18,32.552,-127.054,10,25.78,31.49,2816.0,3.82,7.54,3.98,Indian Ocean
78,2023-03-19,-51.115,153.572,500,4.59,33.06,3753.1,3.38,7.91,3.12,Indian Ocean
79,2023-03-20,-16.984,-2.838,1000,1.58,38.77,1562.2,2.01,7.63,3.82,Bay of Bengal
80,2023-03-21,-46.096,-87.032,500,6.63,39.96,2942.4,6.38,7.52,3.02,Pacific Ocean
81,2023-03-22,43.572,-14.711,200,-0.17,33.68,1110.1,7.8,7.86,5.94,Indian Ocean
82,2023-03-23,14.796,172.812,10,15.0,34.49,3021.8,3.35,8.28,5.9,Bay of Bengal
83,2023-03-24,-20.292,-2.657,200,27.97,37.22,4856.1,5.98,8.07,4.19,Arabian Sea
84,2023-03-25,-52.373,-61.649,10,-0.74,38.86,2536.8,6.45,7.81,5.19,Arabian Sea
85,2023-03-26,-22.682,48.024,50,1.91,35.93,1156.0,7.09,8.15,4.04,Indian Ocean
86,2023-03-27,-20.978,-93.548,1000,12.47,33.92,1123.8,4.54,7.73,5.01,Indian Ocean
87,2023-03-28,27.553,-152.689,10,27.88,34.13,2551.9,3.82,7.51,5.42,Pacific Ocean
88,2023-03-29,16.507,-133.603,200,8.12,36.96,1640.1,3.95,8.26,5.84,Pacific Ocean
89,2023-03-30,46.466,-133.903,500,14.23,30.03,1093.4,6.28,8.12,4.2,Indian Ocean
90,2023-03-31,-3.334,-125.315,10,-0.67,36.2,4024.9,6.9,8.26,5.35,Bay of Bengal
91,2023-04-01,-45.649,-130.022,1000,2.75,33.55,2834.1,3.09,7.54,3.8,Pacific Ocean
92,2023-04-02,25.589,50.715,10,29.57,37.94,2157.0,4.23,8.34,5.97,Indian Ocean
93,2023-04-03,31.294,-114.523,100,28.88,30.93,4600.3,7.41,8.12,3.08,Pacific Ocean
94,2023-04-04,7.353,-55.56,500,-1.84,35.88,1464.6,6.84,8.06,4.81,Indian Ocean
95,2023-04-05,32.516,142.844,1000,28.46,34.81,4823.7,7.91,8.12,4.98,Arabian Sea
96,2023-04-06,-0.745,-9.374,1000,18.45,36.42,2255.9,6.53,8.36,5.06,Indian Ocean
97,2023-04-07,2.728,60.321,50,25.77,30.65,4553.6,4.36,8.09,3.36,Arabian Sea
98,2023-04-08,-8.695,-117.965,200,12.55,35.8,3411.8,5.54,8.08,5.82,Pacific Ocean
99,2023-04-09,-56.95,-110.776,50,14.5,35.61,4306.8,5.97,8.49,3.54,Indian Ocean
100,2023-04-10,-47.053,-165.287,1000,13.64,35.61,4936.1,2.47,8.26,4.87,Pacific Ocean
101,2023-04-11,-56.228,-119.183,500,19.34,36.03,2153.6,5.27,7.94,3.67,Arabian Sea
102,2023-04-12,16.369,-79.707,10,2.47,36.76,4844.5,6.26,8.21,3.92,Indian Ocean
103,2023-04-13,-22.277,-116.276,10,-1.04,38.05,2557.9,3.0,7.89,4.64,Pacific Ocean
104,2023-04-14,1.028,-148.067,500,7.85,32.7,2542.0,6.68,7.73,4.25,Arabian Sea
105,2023-04-15,48.908,-136.571,1000,20.55,38.25,2361.5,5.5,8.1,3.48,Pacific Ocean
106,2023-04-16,-30.085,-14.12,10,4.46,34.98,3165.6,7.71,8.43,3.51,Bay of Bengal
107,2023-04-17,-10.754,-105.72,10,19.55,30.77,1616.6,2.25,8.43,4.25,Arabian Sea
108,2023-04-18,30.666,-48.863,10,29.04,30.59,3214.8,3.59,7.84,5.27,Arabian Sea
109,2023-04-19,-32.544,1.23,200,1.0,33.34,3166.8,5.61,8.03,5.69,Arabian Sea
110,2023-04-20,-50.762,68.542,200,19.52,37.85,4047.6,3.78,7.71,3.25,Indian Ocean
111,2023-04-21,-25.23,-165.848,100,12.2,37.08,4334.6,6.29,8.5,4.18,Indian Ocean
112,2023-04-22,-40.653,107.788,50,25.78,37.89,2761.8,6.55,8.48,3.3,Indian Ocean
113,2023-04-23,51.564,46.044,500,3.67,35.17,2209.3,2.62,8.15,3.05,Bay of Bengal
114,2023-04-24,36.974,-150.567,500,20.16,34.4,2037.3,5.08,8.3,4.99,Bay of Bengal
115,2023-04-25,16.008,134.488,500,24.82,31.47,1778.5,5.05,8.22,4.81,Arabian Sea
116,2023-04-26,44.575,151.514,100,28.23,33.28,1230.6,4.22,8.09,3.49,Bay of Bengal
117,2023-04-27,36.441,-158.012,200,19.86,34.34,2369.8,7.6,7.55,3.7,Pacific Ocean
118,2023-04-28,-37.612,-80.324,1000,13.91,30.89,2081.0,6.97,7.95,3.07,Arabian Sea
119,2023-04-29,47.107,110.232,1000,17.77,32.21,4865.7,6.18,8.17,5.5,Arabian Sea
120,2023-04-30,4.721,89.373,100,25.8,35.98,3230.8,6.29,8.18,5.92,Pacific Ocean
121,2023-05-01,36.893,-113.572,1000,16.26,37.36,2389.1,4.77,7.87,3.41,Arabian Sea
122,2023-05-02,47.531,-104.634,500,-1.03,39.98,3321.9,7.53,8.44,3.69,Bay of Bengal
123,2023-05-03,-21.84,-46.63,50,27.79,39.33,1556.8,6.17,7.67,5.61,Indian Ocean
124,2023-05-04,-46.794,-5.572,10,20.06,36.43,2776.2,6.37,8.0,5.78,Pacific Ocean
125,2023-05-05,-32.648,42.572,200,19.65,34.21,3504.9,7.17,8.19,4.26,Bay of Bengal
126,2023-05-06,-8.747,-47.191,200,4.9,36.36,2955.6,3.64,8.2,3.15,Pacific Ocean
127,2023-05-07,38.162,-13.488,100,19.08,37.86,2607.1,6.84,8.15,3.12,Pacific Ocean
128,2023-05-08,43.288,89.09,200,10.6,31.18,4975.4,3.17,7.78,4.72,Arabian Sea
129,2023-05-09,-59.166,-166.794,500,18.84,34.1,4521.3,4.07,7.66,4.18,Arabian Sea
130,2023-05-10,1.29,-89.123,1000,1.41,38.4,3493.6,4.01,8.14,3.09,Bay of Bengal
131,2023-05-11,-9.911,76.806,500,19.05,33.84,3277.5,7.87,8.1,4.75,Pacific Ocean
132,2023-05-12,-33.347,142.274,100,29.98,35.72,3482.6,7.14,7.68,3.03,Arabian Sea
133,2023-05-13,-45.616,4.204,500,-0.46,35.88,1805.2,6.21,8.21,5.36,Arabian Sea
134,2023-05-14,-19.486,11.561,1000,29.27,31.84,2580.6,6.36,7.96,3.92,Pacific Ocean
135,2023-05-15,53.149,-141.418,50,11.02,33.62,1157.8,5.37,8.17,3.12,Bay of Bengal
136,2023-05-16,-21.216,-18.932,100,25.86,33.35,2902.2,7.68,8.34,4.77,Bay of Bengal
137,2023-05-17,2.255,11.742,50,23.04,30.26,3172.1,4.98,7.67,4.19,Pacific Ocean
138,2023-05-18,24.362,-92.711,10,16.14,30.24,1911.0,4.28,7.52,5.92,Bay of Bengal
139,2023-05-19,-16.364,-83.072,50,21.63,38.32,4856.1,2.98,8.28,4.63,Arabian Sea
140,2023-05-20,56.614,-44.178,10,26.11,32.73,4637.8,6.72,8.11,3.83,Pacific Ocean
141,2023-05-21,55.494,-172.774,10,10.93,35.18,3888.6,6.41,8.2,5.13,Arabian Sea
142,2023-05-22,-29.786,-64.052,50,8.47,32.99,3133.5,4.31,8.34,3.81,Indian Ocean
143,2023-05-23,-0.33,-103.879,100,19.36,39.41,4479.9,2.15,8.3,5.71,Indian Ocean
144,2023-05-24,-23.895,-62.101,1000,23.85,32.59,1522.6,7.03,8.46,4.12,Bay of Bengal
145,2023-05-25,-25.819,-136.886,500,22.39,34.3,4162.0,2.07,8.04,4.65,Indian Ocean
146,2023-05-26,-55.574,140.59,500,23.53,38.73,1499.3,6.22,7.99,3.15,Arabian Sea
147,2023-05-27,13.148,33.693,1000,11.94,38.42,4176.8,7.82,7.9,4.28,Indian Ocean
148,2023-05-28,0.321,64.477,10,24.17,31.86,2103.1,4.63,7.65,5.5,Arabian Sea
149,2023-05-29,-53.823,104.102,10,1.85,38.03,4508.4,3.41,8.07,5.42,Bay of Bengal
150,2023-05-30,-26.562,-0.561,100,15.42,34.58,4776.2,6.23,7.78,3.67,Bay of Bengal
151,2023-05-31,48.992,-148.709,200,-1.82,34.83,1595.2,6.9,8.42,3.68,Arabian Sea
152,2023-06-01,-31.253,13.358,50,8.39,31.33,2850.7,5.28,8.08,5.45,Indian Ocean
153,2023-06-02,-42.613,31.263,10,9.73,30.81,4923.9,7.8,8.09,5.79,Bay of Bengal
154,2023-06-03,-1.266,88.358,500,10.68,37.28,2933.6,2.31,7.85,3.29,Pacific Ocean
155,2023-06-04,58.278,-24.603,100,20.25,34.96,4454.2,5.03,7.55,4.35,Bay of Bengal
156,2023-06-05,-30.953,-134.071,50,10.43,34.37,3354.9,6.31,7.53,4.01,Indian Ocean
157,2023-06-06,20.656,-77.841,100,12.36,37.3,2501.3,7.18,7.92,5.61,Pacific Ocean
158,2023-06-07,31.394,-49.29,50,5.6,37.66,2143.1,3.08,7.58,3.25,Indian Ocean
159,2023-06-08,-31.483,52.53,50,9.94,31.59,1812.9,6.8,8.11,3.63,Arabian Sea
160,2023-06-09,27.386,25.48,1000,5.27,36.1,4047.2,5.32,8.38,5.26,Pacific Ocean
161,2023-06-10,-15.866,-51.805,10,0.34,31.35,2546.2,4.38,8.38,3.15,Indian Ocean
162,2023-06-11,15.877,175.145,100,17.31,37.51,3045.1,2.79,8.16,4.48,Pacific Ocean
163,2023-06-12,16.024,38.079,100,19.38,36.57,2969.3,7.19,7.71,4.33,Indian Ocean
164,2023-06-13,4.293,-94.598,1000,17.82,39.57,3309.1,2.94,8.36,4.0,Pacific Ocean
165,2023-06-14,-49.165,-143.358,500,12.83,30.69,4462.3,3.86,8.39,4.18,Indian Ocean
166,2023-06-15,40.236,-124.971,500,10.15,30.57,4923.0,3.74,7.7,4.59,Arabian Sea
167,2023-06-16,-21.506,-91.455,10,25.63,32.82,2630.3,7.23,8.24,3.48,Pacific Ocean
168,2023-06-17,-37.618,-122.155,10,14.61,32.62,4310.1,6.04,7.79,4.72,Pacific Ocean
169,2023-06-18,-55.107,-112.836,200,13.33,32.47,4058.1,6.78,8.3,5.42,Pacific Ocean
170,2023-06-19,10.907,-77.366,1000,-1.18,39.06,3294.1,3.5,8.5,5.28,Pacific Ocean
171,2023-06-20,21.308,-117.586,500,8.92,32.5,4824.2,5.75,7.53,3.46,Arabian Sea
172,2023-06-21,-58.009,142.836,50,10.17,32.72,1801.9,5.43,8.4,3.45,Pacific Ocean
173,2023-06-22,1.451,-151.116,100,10.76,37.59,1437.1,7.0,8.12,3.8,Bay of Bengal
174,2023-06-23,-32.821,8.824,10,16.57,34.5,4415.8,7.44,8.47,4.08,Arabian Sea
175,2023-06-24,17.421,-32.257,100,15.08,37.77,2756.6,2.07,7.97,4.23,Bay of Bengal
176,2023-06-25,-39.076,173.656,100,17.45,30.65,4387.9,6.04,8.35,5.04,Pacific Ocean
177,2023-06-26,22.913,-139.666,200,22.48,34.88,4572.4,2.31,7.56,3.17,Indian Ocean
178,2023-06-27,-13.592,-36.772,500,24.02,30.34,1249.8,5.29,7.84,3.1,Bay of Bengal
179,2023-06-28,52.408,169.009,10,20.98,30.63,4533.9,3.73,7.57,4.18,Pacific Ocean
180,2023-06-29,-43.497,131.583,100,28.58,39.06,2793.3,3.84,8.48,5.09,Bay of Bengal
181,2023-06-30,-19.072,114.146,10,-1.42,31.39,3041.7,4.12,8.32,3.58,Pacific Ocean
182,2023-07-01,-46.383,-87.155,50,4.26,35.32,3506.4,5.73,8.35,4.92,Pacific Ocean
183,2023-07-02,50.963,-118.48,200,-1.76,34.11,4705.5,4.0,8.44,3.78,Pacific Ocean
184,2023-07-03,45.281,60.712,50,18.72,33.47,1076.5,6.4,7.59,5.66,Indian Ocean
185,2023-07-04,-29.047,154.575,10,26.74,39.0,2907.4,4.43,7.89,5.69,Bay of Bengal
186,2023-07-05,19.198,20.435,10,5.79,30.22,3750.9,2.41,7.57,3.89,Arabian Sea
187,2023-07-06,38.067,25.781,500,27.67,36.64,3890.8,6.7,7.71,3.69,Arabian Sea
188,2023-07-07,6.624,-79.208,100,-0.07,39.63,3770.1,3.71,7.73,4.23,Arabian Sea
189,2023-07-08,3.558,97.017,100,27.9,35.6,1537.7,4.6,7.97,3.72,Arabian Sea
190,2023-07-09,-30.978,-112.664,50,9.25,39.37,2197.6,6.11,7.77,5.02,Pacific Ocean
191,2023-07-10,-48.828,-63.475,200,1.25,30.52,2434.9,3.99,7.6,5.48,Bay of Bengal
192,2023-07-11,47.666,-26.843,1000,13.55,34.19,4217.7,2.34,7.67,5.02,Bay of Bengal
193,2023-07-12,48.05,2.74,100,6.22,32.6,2115.0,4.24,7.65,5.47,Indian Ocean
194,2023-07-13,15.972,-92.732,500,7.12,37.31,1842.8,7.67,8.47,4.19,Bay of Bengal
195,2023-07-14,-19.316,-138.659,50,7.83,39.81,4829.8,5.85,8.26,3.47,Bay of Bengal
196,2023-07-15,-18.095,39.823,50,23.7,32.57,1035.5,6.03,8.47,5.21,Bay of Bengal
197,2023-07-16,27.115,-76.093,1000,15.25,36.54,4991.3,5.79,7.94,4.08,Indian Ocean
198,2023-07-17,47.653,29.246,500,7.96,31.98,3707.3,3.19,7.78,5.01,Arabian Sea
199,2023-07-18,46.45,-124.429,200,17.53,35.65,4313.9,4.51,8.3,3.81,Bay of Bengal
200,2023-07-19,33.585,-6.79,500,20.92,34.64,2178.5,6.51,7.83,3.24,Indian Ocean
201,2023-07-20,17.044,11.732,200,6.72,39.72,1057.3,2.61,7.8,5.98,Indian Ocean
202,2023-07-21,-49.903,-161.344,500,11.23,36.09,3951.5,3.67,7.73,3.47,Pacific Ocean
203,2023-07-22,-40.605,-58.822,500,1.9,33.5,4336.6,3.66,7.63,5.97,Indian Ocean
204,2023-07-23,47.827,-131.611,10,3.8,31.14,3961.9,4.59,7.76,5.93,Arabian Sea
205,2023-07-24,12.771,-157.185,50,19.8,31.51,1571.4,7.88,7.86,5.38,Bay of Bengal
206,2023-07-25,-58.896,176.386,500,3.81,32.25,4013.7,2.41,8.17,4.98,Indian Ocean
207,2023-07-26,-47.823,-63.953,1000,14.81,32.51,4075.7,5.11,7.56,4.73,Arabian Sea
208,2023-07-27,19.62,111.555,500,20.69,38.51,3634.2,3.08,7.71,5.6,Indian Ocean
209,2023-07-28,-59.393,-88.329,100,1.42,35.61,4064.5,7.82,8.31,3.87,Indian Ocean
210,2023-07-29,-40.703,65.341,50,16.15,35.23,4383.7,2.68,7.65,4.4,Indian Ocean
211,2023-07-30,5.848,93.682,100,6.21,31.15,3454.4,4.42,7.84,4.86,Indian Ocean
212,2023-07-31,23.027,34.43,50,28.81,38.6,1354.4,6.43,8.36,4.23,Indian Ocean
213,2023-08-01,18.235,-10.233,100,13.47,37.23,2950.5,6.23,7.65,4.28,Arabian Sea
214,2023-08-02,-33.088,-31.737,500,23.79,30.68,1310.6,4.54,7.58,3.99,Bay of Bengal
215,2023-08-03,25.462,-54.407,500,15.61,37.08,2630.2,4.08,7.98,4.69,Bay of Bengal
216,2023-08-04,-31.53,154.63,10,-0.61,35.44,2628.4,4.39,7.8,5.55,Bay of Bengal
217,2023-08-05,-20.952,119.023,1000,18.26,30.82,1264.0,3.59,8.06,3.6,Bay of Bengal
218,2023-08-06,29.579,167.41,100,28.44,34.58,2395.3,3.23,8.3,5.8,Arabian Sea
219,2023-08-07,17.956,-135.253,200,17.25,34.85,1444.0,4.9,7.64,5.07,Pacific Ocean
220,2023-08-08,41.907,83.112,10,24.21,31.66,4232.9,3.61,8.08,5.47,Pacific Ocean
221,2023-08-09,18.914,157.803,100,26.29,39.46,4790.8,3.72,8.01,4.67,Arabian Sea
222,2023-08-10,8.197,-114.756,100,5.3,38.5,1289.3,5.94,7.64,5.34,Arabian Sea
223,2023-08-11,-48.759,-156.061,10,4.79,36.69,4820.5,7.81,8.12,3.05,Indian Ocean
224,2023-08-12,-15.874,86.803,500,17.55,34.62,3090.3,5.62,7.77,5.46,Indian Ocean
225,2023-08-13,-28.176,26.81,100,11.15,34.12,2198.3,2.46,7.99,3.12,Indian Ocean
226,2023-08-14,-30.721,123.058,500,24.88,36.51,1307.4,2.45,7.58,5.67,Bay of Bengal
227,2023-08-15,56.761,-129.682,10,26.8,35.45,3002.5,7.71,7.96,5.98,Indian Ocean
228,2023-08-16,-12.828,106.296,500,9.31,30.62,4178.1,3.78,7.81,3.88,Pacific Ocean
229,2023-08-17,47.046,-107.414,50,5.58,35.13,3828.3,2.55,8.32,3.63,Bay of Bengal
230,2023-08-18,15.737,-121.084,200,22.98,38.06,1200.9,5.59,7.56,5.3,Indian Ocean
231,2023-08-19,35.377,-120.864,100,6.79,34.59,1291.6,5.74,7.92,3.76,Bay of Bengal
232,2023-08-20,0.316,113.247,1000,24.32,30.52,2611.5,5.89,7.96,5.6,Pacific Ocean
233,2023-08-21,9.228,59.471,200,11.56,37.86,2181.2,3.6,8.23,3.31,Indian Ocean
234,2023-08-22,-0.898,8.304,500,19.36,32.01,1929.5,2.09,8.07,3.38,Pacific Ocean
235,2023-08-23,-36.571,-50.821,100,1.06,32.59,2124.0,7.79,8.17,5.94,Pacific Ocean
236,2023-08-24,26.694,135.792,500,17.96,31.65,4213.9,3.51,8.28,5.02,Pacific Ocean
237,2023-08-25,-26.307,-38.72,50,12.46,33.3,4716.9,6.06,8.36,5.54,Indian Ocean
238,2023-08-26,-57.082,113.976,10,16.77,37.57,2620.4,6.24,7.81,3.97,Arabian Sea
239,2023-08-27,17.457,-21.911,100,3.38,35.19,4624.4,5.66,8.04,5.03,Indian Ocean
240,2023-08-28,-38.747,-44.3,50,21.58,32.05,2286.0,3.88,8.34,4.78,Pacific Ocean
241,2023-08-29,52.855,-13.435,50,25.61,38.78,2905.7,3.63,8.49,4.81,Indian Ocean
242,2023-08-30,54.471,-71.504,100,4.94,38.8,1904.1,5.59,8.39,5.05,Pacific Ocean
243,2023-08-31,49.784,89.139,500,1.06,38.71,3561.9,7.2,7.87,4.73,Arabian Sea
244,2023-09-01,-15.581,0.979,1000,-1.24,32.39,4915.9,7.68,7.7,4.29,Bay of Bengal
245,2023-09-02,-58.145,-96.403,50,18.54,34.51,3414.0,2.64,7.99,3.83,Arabian Sea
246,2023-09-03,51.398,143.847,200,17.43,39.85,2431.3,2.93,8.24,5.31,Arabian Sea
247,2023-09-04,-8.618,-41.799,50,15.49,37.72,3591.3,7.67,7.99,3.68,Bay of Bengal
248,2023-09-05,55.999,15.679,1000,5.42,30.27,1491.7,6.42,7.98,5.08,Indian Ocean
249,2023-09-06,55.634,146.33,500,10.51,30.65,4554.6,7.3,8.34,3.7,Bay of Bengal
250,2023-09-07,42.361,44.726,500,17.02,34.64,3012.3,3.22,7.86,4.88,Indian Ocean
251,2023-09-08,-24.666,-137.917,200,13.9,39.09,2797.4,5.53,8.36,5.24,Indian Ocean
252,2023-09-09,-13.788,158.34,50,29.61,35.39,3343.5,6.21,7.91,3.66,Pacific Ocean
253,2023-09-10,42.136,45.975,500,2.37,34.98,3499.1,6.08,7.83,3.18,Pacific Ocean
254,2023-09-11,-21.969,-59.434,1000,20.24,31.05,1287.1,4.45,7.95,3.39,Bay of Bengal
255,2023-09-12,-39.661,-129.862,100,10.94,36.57,3730.5,2.09,8.26,4.82,Arabian Sea
256,2023-09-13,6.816,105.849,10,11.7,38.22,1967.7,5.5,7.63,5.55,Bay of Bengal
257,2023-09-14,52.339,43.226,10,20.96,33.8,3855.8,3.52,7.7,3.13,Indian Ocean
258,2023-09-15,23.524,12.046,10,20.16,37.76,4290.1,4.7,8.45,5.2,Pacific Ocean
259,2023-09-16,8.407,141.801,50,29.72,39.64,4215.8,7.75,7.68,4.02,Bay of Bengal
